nome,latitude,longitude,endereco,telefone,horario,obs
100 SEDE,-16.656365,-49.272275,"RUA JOSÉ PEDRO DA COSTA, N°1146, QD 14, Lt 9, SETOR CENTRO OESTE, 74.560-465, Goiânia-GO",(62) 8109-1625,Segunda a Sexta: 08h às 18h | Sábado: Fechado | Domingo: Fechado,
ÁGAPE CELULARES E INFORMÁTICA,-16.615997,-49.217792,"AVENIDA GOIANIA, JARDIM GUANABARA, QUADRA 76, LOTE 06", (62) 9212-1655,Segunda a Sexta: 08h às 18h | Sábado: 08h às 13h | Domingo: Fechado,
AMAZONIA ENVIOS,-16.731678,-49.277439,"R. IGAPÓ, 809 - QD. 189 LT 07 CASA 03 - PARQUE AMAZONIA, GOIÂNIA - GO, 74835-440",(62) 9432-5975,Segunda a Sexta: 09h às 19h | Sábado / Domingo: Fechado,
ARARA BRASIL TECNOLOGIA,-16.664213,-49.239808,RUA A SALA 4 SETOR LESTE VILA NOVA GOIANIA NUMERO 297 SALA 4 GOIANIA- GO 74645-210,(62) 98313-4015,Segunda a Sexta: 09h às 18h | Sábado e Domingo: Fechado,
BEBÊ XD COMERCIO DE ENXOVAIS LTDA,-16.690737,-49.277918,"RUA 2C, QUADRA 4B, LOTE 13, Nº160 - CIDADE VERDE - GOIÂNIA - GO - 74455-561",(62) 99373-4099,Segunda a Sexta: 08h às 18h | Sábado: 09h às 13h | Domingo: Fechado,
CHINA MAQUINAS - COMERCIAL LIMA,-16.661831,-49.293727,"RUA SENADOR MORAIS FILHO, ESQUINA COM AVENIDA 24 DE OUTUBRO, Nº 671, QUADRA 33, LOTE 12 - CAMPINAS - GOIÂNIA - GO - 74515-010",(62) 98150-3423,Segunda a Sexta: 08h às 18h | Sábado: 08h às 12h | Domingo: Fechado,
CONSERTA SMART,-16.674232,-49.306162,"AV. PIO XII, QD.01 LT.1E SALA 07 N.300 - RODOVIÁRIO, GOIÂNIA - GO, 74425-098",(62) 8247-7021,Segunda a Sexta: 08:30h às 19h | Sábado: 09h às 12h | Domingo: Fechado,
CONVENIÊNCIA & FERRAGISTA JFS,-16.705599,-49.377334,"AVENIDA OSMIRA MOREIRA DOS SANTOS, QD 05 LT 40 RESIDENCIAL SÃO MARCOS, CEP 74.487-110",(62) 98167-4574,Segunda a Sexta: 08h às 21h | Sábado: 08h às 12h | Domingo: Fechado,
DIAMOND DISTRIBUIÇÃO GOIÂNIA LTDA - LUCI LUCI GOIÂNIA,-16.704956,-49.289967,"AVENIDA C 104, Nº 368, QUADRA 248, LOTE 01, SALA 01 - JARDIM AMÉRICA - GOIÂNIA - GO - 74250-030",(62) 98500-2557,Segunda a Sexta: 09h às 18h20 | Sábado: 09h às 12h | Domingo: Fechado,
DTORO PEÇAS AUTOMOTIVAS,-16.660557,-49.246,"AV. INDEPENDÊNCIA, 1624 - SALA 1 - LESTE VILA NOVA, GOIÂNIA - GO, 74645-010",(62) 98424-6000,Segunda a Sexta: 08h às 18h | Sábado: Fechado | Domingo: Fechado,
